bildName,x1,y1,x2,y2,name
20041a4c-8a3a-431d-b64b-d40747effedf.jpg,75,490,1015,1061,banana
227af5fe-fc47-4dfe-b4d7-f22691db58c3.jpg,391,498,678,857,boiled egg
31518265-d834-4da3-8c98-1ed0cee5a176.jpg,335,493,807,1164,banana
33d1895f-f150-4f80-a45d-c9a86729d033.jpg,528,613,981,1064,roasted turkey steak
33d1895f-f150-4f80-a45d-c9a86729d033.jpg,113,345,638,841,Gefüllter Paprika mit Couscous
47bcd432-4e75-4fff-9f6c-180ca37b339f.jpg,62,270,995,1222,raspberry (group)
62246ca9-79e0-48b9-a6d1-c8e90651a2b9.jpg,283,427,782,896,dampfnudel
6a7b96d0-b4df-479e-9cdb-463ee8bfa09a.jpg,360,357,975,870,roast potatoes
6a7b96d0-b4df-479e-9cdb-463ee8bfa09a.jpg,94,591,611,1194,mixed vegetables
6a7b96d0-b4df-479e-9cdb-463ee8bfa09a.jpg,580,893,982,1187,Putensteak, gebacken
6e6ab446-e7c8-419d-8236-836965262fc5.jpg,85,152,993,1304,Reis mit Hähnchen und Bohnen
7029f73e-85e0-4bf3-a878-62e3cc2a3ad8.jpg,96,270,846,756,roasted turkey steak
7029f73e-85e0-4bf3-a878-62e3cc2a3ad8.jpg,136,680,955,1137,roasted turkey steak
7e2e7fbe-c3f6-4c9c-a624-ab6ee32146be.jpg,298,359,852,916,apple
aa85fb69-ff3e-41cf-9a19-e26b93f541b2.jpg,333,305,781,1158,banana
ab710d5e-7fbb-4960-9d22-e859567c5674.jpg,240,237,709,1091,banana
baa521f7-f34c-42f0-8c26-06d05c9221b6.jpg,334,299,773,782,apple
cdad5a50-d50b-43a6-bed7-24271b3856b4.jpg,261,402,775,961,apple
d293668a-e9e7-4851-815f-831c5b31d666.jpg,547,768,1026,1298,cordon bleu
d293668a-e9e7-4851-815f-831c5b31d666.jpg,38,458,630,1168,bulgur with vegetables
d56d417d-dd96-4262-b759-55b3f87cf9b2.jpg,65,437,1014,1022,banana
dfd25d07-05f1-4bc9-ab1e-4d83d473e480.jpg,175,300,959,1045,lasagna
e93da2b8-894e-46d2-a59f-37ede0bf8d6c.jpg,315,452,747,883,apple
f47d7063-0c9d-4361-82cb-1bdc9782f0a7.jpg,187,318,808,939,Rote Bete-Risotto
f47d7063-0c9d-4361-82cb-1bdc9782f0a7.jpg,309,918,889,1403,falafel (group)
3386f290-ecaa-43bc-8ced-8227f98bb5bc.jpg,367,316,761,675,Semmelknödel
3386f290-ecaa-43bc-8ced-8227f98bb5bc.jpg,561,560,1009,955,Rinderrouladen, gefüllt
3386f290-ecaa-43bc-8ced-8227f98bb5bc.jpg,47,553,538,1103,mixed vegetables
374dc91f-a1e4-4c7f-a063-c2cf3b5d093a.jpg,211,394,740,934,apple
3c7c092b-adbb-40ba-95f8-942033d156e3.jpg,24,235,1046,1234,pizza
5b4e828c-d8f1-4d03-bed3-a664fefc8b45.jpg,11,621,1013,917,yufka
